Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,Asset UUID,Vulnerability State,IP Address,FQDN,NetBios,OS,MAC Address,Plugin Family,CVSS Base Score,CVSS Temporal Score,CVSS Temporal Vector,CVSS Vector,CVSS3 Base Score,CVSS3 Temporal Score,CVSS3 Temporal Vector,CVSS3 Vector,System Type,Host Start,Host End
42873,CVE-2016-2183,5,High,107.112.171.46,TCP,9443,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"The remote host supports the use of SSL ciphers that offer medium
strength encryption. Nessus regards medium strength as any encryption
that uses key lengths at least 64 bits and less than 112 bits, or 
else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength
encryption if the attacker is on the same physical network.","Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info","
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    PSK-3DES-EDE-CBC-SHA         Kx=PSK         Au=PSK      Enc=3DES-CBC(168)        Mac=SHA1   

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
",a153237b-b2a1-4597-91e9-598f2abed8d5,Active,107.112.171.46,,,Linux Kernel 2.2,,General,5,,,AV:N/AC:L/Au:N/C:P/I:N/A:N,7.5,,,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,general-purpose,2019-07-17T01:01:04.439Z,2019-07-17T02:07:29.579Z
57582,,6.4,High,107.112.170.196,TCP,25,SSL Self-Signed Certificate,"The SSL certificate chain for this service ends in an unrecognized
self-signed certificate.","The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.",Purchase or generate a proper certificate for this service.,,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=ds130-4-245-24.gs.sbc.com
",075745ad-5b59-4c81-b233-4b55cbe59034,Active,107.112.170.196,,,Linux Kernel 4.4 on Ubuntu 16.04 (xenial),,General,6.4,,,AV:N/AC:L/Au:N/C:P/I:P/A:N,,,,,general-purpose,2019-07-17T01:01:04.439Z,2019-07-17T02:13:34.295Z
65821,CVE-2013-2566,2.6,High,107.112.170.196,TCP,25,SSL RC4 Cipher Suites Supported (Bar Mitzvah),The remote service supports the use of the RC4 cipher.,"The remote host supports the use of RC4 in one or more cipher suites.
The RC4 cipher is flawed in its generation of a pseudo-random stream
of bytes so that a wide variety of small biases are introduced into
the stream, decreasing its randomness.

If plaintext is repeatedly encrypted (e.g., HTTP cookies), and an
attacker is able to obtain many (i.e., tens of millions) ciphertexts,
the attacker may be able to derive the plaintext.","Reconfigure the affected application, if possible, to avoid use of RC4
ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser
and web server support.","http://www.nessus.org/u?ac7327a0
http://cr.yp.to/talks/2013.03.12/slides.pdf
http://www.isg.rhul.ac.uk/tls/
https://www.imperva.com/docs/HII_Attacking_SSL_when_using_RC4.pdf","
List of RC4 cipher suites supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    ADH-RC4-MD5                  Kx=DH          Au=None     Enc=RC4(128)             Mac=MD5    
    ECDHE-RSA-RC4-SHA            Kx=ECDH        Au=RSA      Enc=RC4(128)             Mac=SHA1   
    AECDH-RC4-SHA                Kx=ECDH        Au=None     Enc=RC4(128)             Mac=SHA1   
    RC4-MD5                      Kx=RSA         Au=RSA      Enc=RC4(128)             Mac=MD5    
    RC4-SHA                      Kx=RSA         Au=RSA      Enc=RC4(128)             Mac=SHA1   

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
",075745ad-5b59-4c81-b233-4b55cbe59034,Active,107.112.170.196,,,Linux Kernel 4.4 on Ubuntu 16.04 (xenial),,General,2.6,2.2,E:U/RL:ND/RC:C,AV:N/AC:H/Au:N/C:P/I:N/A:N,,,,,general-purpose,2019-07-17T01:01:04.439Z,2019-07-17T02:13:34.295Z
65821,CVE-2015-2808,2.6,High,107.112.170.196,TCP,25,SSL RC4 Cipher Suites Supported (Bar Mitzvah),The remote service supports the use of the RC4 cipher.,"The remote host supports the use of RC4 in one or more cipher suites.
The RC4 cipher is flawed in its generation of a pseudo-random stream
of bytes so that a wide variety of small biases are introduced into
the stream, decreasing its randomness.

If plaintext is repeatedly encrypted (e.g., HTTP cookies), and an
attacker is able to obtain many (i.e., tens of millions) ciphertexts,
the attacker may be able to derive the plaintext.","Reconfigure the affected application, if possible, to avoid use of RC4
ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser
and web server support.","http://www.nessus.org/u?ac7327a0
http://cr.yp.to/talks/2013.03.12/slides.pdf
http://www.isg.rhul.ac.uk/tls/
https://www.imperva.com/docs/HII_Attacking_SSL_when_using_RC4.pdf","
List of RC4 cipher suites supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    ADH-RC4-MD5                  Kx=DH          Au=None     Enc=RC4(128)             Mac=MD5    
    ECDHE-RSA-RC4-SHA            Kx=ECDH        Au=RSA      Enc=RC4(128)             Mac=SHA1   
    AECDH-RC4-SHA                Kx=ECDH        Au=None     Enc=RC4(128)             Mac=SHA1   
    RC4-MD5                      Kx=RSA         Au=RSA      Enc=RC4(128)             Mac=MD5    
    RC4-SHA                      Kx=RSA         Au=RSA      Enc=RC4(128)             Mac=SHA1   

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
",075745ad-5b59-4c81-b233-4b55cbe59034,Active,107.112.170.196,,,Linux Kernel 4.4 on Ubuntu 16.04 (xenial),,General,2.6,2.2,E:U/RL:ND/RC:C,AV:N/AC:H/Au:N/C:P/I:N/A:N,,,,,general-purpose,2019-07-17T01:01:04.439Z,2019-07-17T02:13:34.295Z
104743,,0,High,107.112.170.196,TCP,25,TLS Version 1.0 Protocol Detection,The remote service encrypts traffic using an older version of TLS.,"The remote service accepts connections encrypted using TLS 1.0. TLS 1.0 has a
number of cryptographic design flaws. Modern implementations of TLS 1.0
mitigate these problems, but newer versions of TLS like 1.1 and 1.2 are
designed against these flaws and should be used whenever possible.

PCI DSS v3.2 requires that TLS 1.0 be disabled entirely by June 30,
2018, except for POS POI terminals (and the SSL/TLS termination
points to which they connect) that can be verified as not being
susceptible to any known exploits.","Enable support for TLS 1.1 and 1.2, and disable support for TLS 1.0.",,TLSv1 is enabled and the server supports at least one cipher.,075745ad-5b59-4c81-b233-4b55cbe59034,Active,107.112.170.196,,,Linux Kernel 4.4 on Ubuntu 16.04 (xenial),,Service detection,,,,,,,,,general-purpose,2019-07-17T01:01:04.439Z,2019-07-17T02:13:34.295Z
42873,CVE-2016-2183,5,High,107.112.170.196,TCP,25,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"The remote host supports the use of SSL ciphers that offer medium
strength encryption. Nessus regards medium strength as any encryption
that uses key lengths at least 64 bits and less than 112 bits, or 
else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength
encryption if the attacker is on the same physical network.","Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info","
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    EDH-RSA-DES-CBC3-SHA         Kx=DH          Au=RSA      Enc=3DES-CBC(168)        Mac=SHA1   
    ADH-DES-CBC3-SHA             Kx=DH          Au=None     Enc=3DES-CBC(168)        Mac=SHA1   
    ECDHE-RSA-DES-CBC3-SHA       Kx=ECDH        Au=RSA      Enc=3DES-CBC(168)        Mac=SHA1   
    AECDH-DES-CBC3-SHA           Kx=ECDH        Au=None     Enc=3DES-CBC(168)        Mac=SHA1   
    DES-CBC3-SHA                 Kx=RSA         Au=RSA      Enc=3DES-CBC(168)        Mac=SHA1   

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
",075745ad-5b59-4c81-b233-4b55cbe59034,Active,107.112.170.196,,,Linux Kernel 4.4 on Ubuntu 16.04 (xenial),,General,5,,,AV:N/AC:L/Au:N/C:P/I:N/A:N,7.5,,,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,general-purpose,2019-07-17T01:01:04.439Z,2019-07-17T02:13:34.295Z
90317,,4.3,High,107.112.170.199,TCP,22,SSH Weak Algorithms Supported,"The remote SSH server is configured to allow weak encryption
algorithms or no algorithm at all.","Nessus has detected that the remote SSH server is configured to use
the Arcfour stream cipher or no cipher at all. RFC 4253 advises
against using Arcfour due to an issue with weak keys.","Contact the vendor or consult product documentation to remove the weak
ciphers.",https://tools.ietf.org/html/rfc4253#section-6.3,"
The following weak server-to-client encryption algorithms are supported : 

  arcfour
  arcfour128
  arcfour256

The following weak client-to-server encryption algorithms are supported : 

  arcfour
  arcfour128
  arcfour256
",58fcd8c9-cea7-4241-ab59-eace00083209,Active,107.112.170.199,,,Linux Kernel 2.2,,Misc.,4.3,,,AV:N/AC:M/Au:N/C:P/I:N/A:N,,,,,general-purpose,2019-07-17T01:01:04.439Z,2019-07-17T02:13:34.295Z
71049,,2.6,High,107.112.170.199,TCP,22,SSH Weak MAC Algorithms Enabled,"The remote SSH server is configured to allow MD5 and 96-bit MAC
algorithms.","The remote SSH server is configured to allow either MD5 or 96-bit MAC
algorithms, both of which are considered weak.

Note that this plugin only checks for the options of the SSH server,
and it does not check for vulnerable software versions.","Contact the vendor or consult product documentation to disable MD5 and
96-bit MAC algorithms.",,"
The following client-to-server Message Authentication Code (MAC) algorithms
are supported : 

  hmac-md5
  hmac-md5-96
  hmac-sha1-96

The following server-to-client Message Authentication Code (MAC) algorithms
are supported : 

  hmac-md5
  hmac-md5-96
  hmac-sha1-96
",58fcd8c9-cea7-4241-ab59-eace00083209,Active,107.112.170.199,,,Linux Kernel 2.2,,Misc.,2.6,,,AV:N/AC:H/Au:N/C:P/I:N/A:N,,,,,general-purpose,2019-07-17T01:01:04.439Z,2019-07-17T02:13:34.295Z
90317,,4.3,High,107.112.170.200,TCP,22,SSH Weak Algorithms Supported,"The remote SSH server is configured to allow weak encryption
algorithms or no algorithm at all.","Nessus has detected that the remote SSH server is configured to use
the Arcfour stream cipher or no cipher at all. RFC 4253 advises
against using Arcfour due to an issue with weak keys.","Contact the vendor or consult product documentation to remove the weak
ciphers.",https://tools.ietf.org/html/rfc4253#section-6.3,"
The following weak server-to-client encryption algorithms are supported : 

  arcfour
  arcfour128
  arcfour256

The following weak client-to-server encryption algorithms are supported : 

  arcfour
  arcfour128
  arcfour256
",2d3af43b-a845-4eff-905c-a5639fd16b86,Active,107.112.170.200,,,Linux Kernel 2.2,,Misc.,4.3,,,AV:N/AC:M/Au:N/C:P/I:N/A:N,,,,,general-purpose,2019-07-17T01:01:04.439Z,2019-07-17T02:13:34.295Z
71049,,2.6,High,107.112.170.200,TCP,22,SSH Weak MAC Algorithms Enabled,"The remote SSH server is configured to allow MD5 and 96-bit MAC
algorithms.","The remote SSH server is configured to allow either MD5 or 96-bit MAC
algorithms, both of which are considered weak.

Note that this plugin only checks for the options of the SSH server,
and it does not check for vulnerable software versions.","Contact the vendor or consult product documentation to disable MD5 and
96-bit MAC algorithms.",,"
The following client-to-server Message Authentication Code (MAC) algorithms
are supported : 

  hmac-md5
  hmac-md5-96
  hmac-sha1-96

The following server-to-client Message Authentication Code (MAC) algorithms
are supported : 

  hmac-md5
  hmac-md5-96
  hmac-sha1-96
",2d3af43b-a845-4eff-905c-a5639fd16b86,Active,107.112.170.200,,,Linux Kernel 2.2,,Misc.,2.6,,,AV:N/AC:H/Au:N/C:P/I:N/A:N,,,,,general-purpose,2019-07-17T01:01:04.439Z,2019-07-17T02:13:34.295Z
90317,,4.3,High,107.112.170.201,TCP,22,SSH Weak Algorithms Supported,"The remote SSH server is configured to allow weak encryption
algorithms or no algorithm at all.","Nessus has detected that the remote SSH server is configured to use
the Arcfour stream cipher or no cipher at all. RFC 4253 advises
against using Arcfour due to an issue with weak keys.","Contact the vendor or consult product documentation to remove the weak
ciphers.",https://tools.ietf.org/html/rfc4253#section-6.3,"
The following weak server-to-client encryption algorithms are supported : 

  arcfour
  arcfour128
  arcfour256

The following weak client-to-server encryption algorithms are supported : 

  arcfour
  arcfour128
  arcfour256
",56e64d96-5835-4ce5-b3f9-3e8404d05063,Active,107.112.170.201,,,Linux Kernel 2.6 on Red Hat Enterprise Linux 6,,Misc.,4.3,,,AV:N/AC:M/Au:N/C:P/I:N/A:N,,,,,general-purpose,2019-07-17T01:01:04.439Z,2019-07-17T02:13:34.295Z
71049,,2.6,High,107.112.170.201,TCP,22,SSH Weak MAC Algorithms Enabled,"The remote SSH server is configured to allow MD5 and 96-bit MAC
algorithms.","The remote SSH server is configured to allow either MD5 or 96-bit MAC
algorithms, both of which are considered weak.

Note that this plugin only checks for the options of the SSH server,
and it does not check for vulnerable software versions.","Contact the vendor or consult product documentation to disable MD5 and
96-bit MAC algorithms.",,"
The following client-to-server Message Authentication Code (MAC) algorithms
are supported : 

  hmac-md5
  hmac-md5-96
  hmac-sha1-96

The following server-to-client Message Authentication Code (MAC) algorithms
are supported : 

  hmac-md5
  hmac-md5-96
  hmac-sha1-96
",56e64d96-5835-4ce5-b3f9-3e8404d05063,Active,107.112.170.201,,,Linux Kernel 2.6 on Red Hat Enterprise Linux 6,,Misc.,2.6,,,AV:N/AC:H/Au:N/C:P/I:N/A:N,,,,,general-purpose,2019-07-17T01:01:04.439Z,2019-07-17T02:13:34.295Z
15901,,5,High,107.112.170.201,TCP,443,SSL Certificate Expiry,The remote server's SSL certificate has already expired.,"This plugin checks expiry dates of certificates associated with SSL-
enabled services on the target and reports whether any have already
expired.","Purchase or generate a new SSL certificate to replace the existing
one.",,"
The SSL certificate has already expired :

  Subject          : C=--, ST=SomeState, L=SomeCity, O=SomeOrganization, OU=SomeOrganizationalUnit, CN=attnxgsrv001m, emailAddress=root@attnxgsrv001m
  Issuer           : C=--, ST=SomeState, L=SomeCity, O=SomeOrganization, OU=SomeOrganizationalUnit, CN=attnxgsrv001m, emailAddress=root@attnxgsrv001m
  Not valid before : Oct 15 17:56:14 2015 GMT
  Not valid after  : Oct 14 17:56:14 2016 GMT
",56e64d96-5835-4ce5-b3f9-3e8404d05063,Active,107.112.170.201,,,Linux Kernel 2.6 on Red Hat Enterprise Linux 6,,General,5,,,AV:N/AC:L/Au:N/C:N/I:P/A:N,5.3,,,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,general-purpose,2019-07-17T01:01:04.439Z,2019-07-17T02:13:34.295Z
